symbol,last_price,open_24h,high_24h,low_24h,change_24h_pct,bid_price,ask_price,bid_size,ask_size,base_volume_24h,quote_volume_24h,openUtc,changeUtc24h,timestamp_api,channel,type,timestamp_received,spread,spread_pct
TRXUSDT,0.2931,0.2837,0.2941,0.282,0.03826,0.293,0.2931,136473.96,948.3567,46130534.9575,13294000.2828,0.2869,0.02126,2025-06-10 14:23:18.488,ticker,SPOT,2025-06-10 21:23:18.485075,0.0001000000000000445,0.03411804844764397
BTCUSDT,108976.42,107633.51,110500.0,107508.08,0.01299,108976.42,108976.43,0.590095,0.11849,6888.79705,752083023.328731,110238.91,-0.01145,2025-06-10 14:23:18.490,ticker,SPOT,2025-06-10 21:23:18.485434,0.00999999999476131,9.17629703266203e-06
XRPUSDT,2.2843,2.2626,2.3293,2.2495,0.0134,2.2843,2.2844,5719.9823,2066.9313,37187995.4039,85402405.1223,2.3206,-0.0156,2025-06-10 14:23:18.490,ticker,SPOT,2025-06-10 21:23:18.485720,0.00010000000000021103,0.0043777087072718575
ETHUSDT,2739.17,2534.53,2797.6,2527.2,0.08133,2739.16,2739.17,9.6936,3.1168,309217.0861,830455257.2223,2680.12,0.02203,2025-06-10 14:23:18.491,ticker,SPOT,2025-06-10 21:23:18.485984,0.010000000000218279,0.00036507409179489694
LINKUSDT,15.05,13.92,15.34,13.86,0.08196,15.04,15.05,961.9093,389.2549,845279.3956,12402197.9072,14.35,0.04878,2025-06-10 14:23:18.494,ticker,SPOT,2025-06-10 21:23:18.486246,0.010000000000001563,0.06644518272426288
BNBUSDT,661.7,656.6,668.0,654.6,0.01038,661.7,661.8,3.6554,0.8839,5213.911,3453642.1336,665.6,-0.00586,2025-06-10 14:23:18.494,ticker,SPOT,2025-06-10 21:23:18.486566,0.09999999999990905,0.015112588786445376
SOLUSDT,158.22,155.02,161.95,153.74,0.02521,158.21,158.22,30.1733,16.2347,982784.7091,155739110.3559,161.12,-0.018,2025-06-10 14:23:18.495,ticker,SPOT,2025-06-10 21:23:18.486809,0.009999999999990905,0.006320313487543234
AVAXUSDT,21.97,21.03,22.47,20.86,0.0522,21.96,21.97,244.189,155.986,476958.9296,10414474.1573,21.95,0.00091,2025-06-10 14:23:18.498,ticker,SPOT,2025-06-10 21:23:18.489171,0.00999999999999801,0.04551661356394179
DOTUSDT,4.23,4.02,4.306,4.005,0.05302,4.23,4.231,79.4495,117.5,1257485.2687,5236730.2137,4.152,0.01879,2025-06-10 14:23:18.499,ticker,SPOT,2025-06-10 21:23:18.489425,0.0009999999999994458,0.023640661938521174
ADAUSDT,0.6971,0.6737,0.7155,0.6683,0.03998,0.6971,0.6972,4816.574,2500.0,26059610.638,18163608.036,0.7047,-0.01064,2025-06-10 14:23:18.505,ticker,SPOT,2025-06-10 21:23:18.494877,9.999999999998899e-05,0.014345144168697314
