thoi_gian,timestamp_api,instId,lastPr,bidPr,askPr,bidSz,askSz,open24h,high24h,low24h,change24h,baseVolume,quoteVolume,openUtc,changeUtc24h,action
2025-06-09T08:28:10.161375,0.643,0.643,0.644,474282.3597,0.658,0.637,SUSHIUSDT,4532.3333,2044.4008,-0.00924,474282.3597,307020.9838,0.644,0.649,1749432488645,snapshot
2025-06-09T08:28:10.161375,5198,5193,5204,11.4786,5261,5157,YFIUSDT,0.0387,0.0322,-0.00269,11.4786,59690.2533,5211,5185,1749432488646,snapshot
2025-06-09T08:28:10.161375,13.7,13.7,13.71,255440.9826,13.98,13.55,LINKUSDT,831.598,265.081,-0.00508,255440.9826,3517694.5569,13.72,13.75,1749432488647,snapshot
2025-06-09T08:28:10.161375,0.2821,0.282,0.2821,35760659.703,0.2877,0.2814,TRXUSDT,8427.2796,22068.3324,-0.01260,35760659.703,10175551.4053,0.2818,0.2851,1749432488648,snapshot
2025-06-09T08:28:10.161375,2.2488,2.2488,2.2489,35497710.9247,2.2947,2.168,XRPUSDT,5496.1242,226.9244,0.03708,35497710.9247,79844110.8379,2.2665,2.2766,1749432488648,snapshot
2025-06-09T08:28:10.161375,105640.01,105640,105640.01,2814.049577,106466.51,104973.01,BTCUSDT,1.312478,0.0029,0.00100,2814.049577,297559917.568417,105730.52,105955.35,1749432488649,snapshot
2025-06-09T08:28:10.161375,6.327,6.327,6.328,1657410.845,6.452,6.206,UNIUSDT,214.75,181.5485,0.00445,1657410.845,10505842.9363,6.325,6.361,1749432488650,snapshot
2025-06-09T08:28:10.161375,45.79,45.79,45.82,16935.413,47.86,44.25,COMPUSDT,3.7125,3.7125,0.01126,16935.413,782461.833,45.86,47.37,1749432488650,snapshot
2025-06-09T08:28:10.161375,152.21,152.23,152.24,624249.5173,155.24,147.9,SOLUSDT,107.788,19.7167,0.01772,624249.5173,94524028.988,152.45,150.72,1749432488651,snapshot
2025-06-09T08:28:10.161375,2502.98,2502.98,2502.99,92129.1242,2548.22,2491.63,ETHUSDT,10.273,21.934,-0.00395,92129.1242,231645019.3431,2510.54,2514.8,1749432488653,snapshot
2025-06-09T08:28:10.171104,651.6,651.5,651.6,1567.82,656.3,646.3,BNBUSDT,9.2484,2.7699,0.00401,1567.82,1020887.215,651.9,651.8,1749432488652,snapshot
2025-06-09T08:28:10.171196,252.86,252.86,252.91,12549.5453,257.17,251.32,AAVEUSDT,0.6412,0.911,-0.00894,12549.5453,3194684.9315,253.81,253.06,1749432488652,snapshot
2025-06-09T08:28:10.173316,1.9125,1.911,1.9117,4167970.22,2.1318,1.8869,GRASSUSDT,15.17,130.93,-0.09992,4167970.22,8329328.6,1.8990,2.0104,1749432488723,snapshot
2025-06-09T08:28:10.173316,0.1203,0.1202,0.1203,3050653.51,0.1241,0.1161,GOATUSDT,5620.74,8337.66,-0.00661,3050653.51,367349.22,0.1200,0.1198,1749432488724,snapshot
2025-06-09T08:28:10.173316,0.28,0.28,0.281,97931.23,0.283,0.271,SCRUSDT,139.06,3154.32,0.01818,97931.23,27036.49,0.278,0.278,1749432488723,snapshot
2025-06-09T08:28:10.174662,0.26,0.259,0.261,392900.64,0.269,0.259,LUMIAUSDT,3548.65,3079.09,-0.02985,392900.64,103848.04,0.261,0.265,1749432488723,snapshot
2025-06-09T08:28:10.174662,0.0491,0.0491,0.0492,25422651.1,0.0503,0.0482,ACTUSDT,65701.69,71508.6,0.00000,25422651.1,1252374.56,0.0491,0.0492,1749432488725,snapshot
2025-06-09T08:28:10.174662,0.000074,0.00007401,0.00007402,354362361480.6,0.00007476,0.00007223,XUSDT,200000,400000,0.00667,354362361480.6,26081394.4,0.00007379,0.00007348,1749432488726,snapshot
