symbol,lastPr,askPr,bidPr,bidSz,askSz,high24h,low24h,ts,change24h,baseVolume,quoteVolume,usdtVolume,openUtc,changeUtc24h,indexPrice,fundingRate,holdingAmount,deliveryStartTime,deliveryTime,deliveryStatus,open24h,markPrice,local_time
BTCUSDT,110442.2,110442.2,110442.1,0.2133,12.4443,111853.1,106036.8,1747904951391,0.03773,238777.165,25983770726.17104,25983770726.17104,109608.5,0.00761,110459.7087015123319054,0.0001,50039.6292,,,,106427.2,110443.1,2025-05-22 09:09:11.391
ETHUSDT,2674.9,2674.88,2674.87,0.02,101.12,2680.84,2451.0,1747904951391,0.05531,6939058.86,17696404693.3884,17696404693.3884,2550,0.04927,2675.7330662504522693,0.0001,1115659.48,,,,2534.7,2674.96,2025-05-22 09:09:11.391
XRPUSDT,2.4457,2.4457,2.4456,15364,15387,2.4477,2.329,1747904951391,0.0425,155943538.0,371962888.7915,371962888.7915,2.3948,0.02105,2.4458459391305962,0.0001,448634603,,,,2.346,2.4458,2025-05-22 09:09:11.391
BCHUSDT,421.07,421.09,420.94,0.23,0.23,425.53,393.9,1747904951391,0.05999,30323.42,12452732.3108,12452732.3108,406.73,0.03636,421.4075092070955971,-1.6e-05,69365.43,,,,397.24,421.58,2025-05-22 09:09:11.391
LTCUSDT,98.89,98.91,98.9,2.3,4.2,100.13,94.14,1747904951391,0.04424,253361.6,24551543.017,24551543.017,97.12,0.01822,98.8820458743073963,0.0001,660192.4,,,,94.7,98.89,2025-05-22 09:09:11.391
ADAUSDT,0.8036,0.8035,0.8033,23577,26675,0.8042,0.7425,1747904951391,0.07304,97185584.0,74480859.8353,74480859.8353,0.7692,0.04498,0.8030915790625978,0.0001,229860197,,,,0.7489,0.8035,2025-05-22 09:09:11.391
ETCUSDT,19.682,19.681,19.679,180,302,19.709,18.355,1747904951391,0.06678,226292.0,4299924.931,4299924.931,18.999,0.03595,19.6699245254355991,0.000145,946956,,,,18.45,19.682,2025-05-22 09:09:11.391
LINKUSDT,16.672,16.671,16.67,160,121,16.687,15.542,1747904951391,0.06076,1888626.0,30362323.675,30362323.675,16.1,0.03596,16.658573824742503,0.000105,8004563,,,,15.717,16.672,2025-05-22 09:09:11.391
TRXUSDT,0.27338,0.27353,0.27348,10534,122944,0.27423,0.26552,1747904951391,0.01312,20904221.0,5642623.46355,5642623.46355,0.26804,0.01955,0.2733728240182108,0.0001,110659033,,,,0.26984,0.27337,2025-05-22 09:09:11.391
DOTUSDT,4.913,4.914,4.913,3,8221,4.919,4.613,1747904951391,0.05906,1991267.0,9462520.591,9462520.591,4.743,0.03584,4.9105081000275653,0.0001,18333788,,,,4.639,4.913,2025-05-22 09:09:11.391
DOGEUSDT,0.2427,0.24265,0.24264,84758,563236,0.245,0.22268,1747904951391,0.0758,537152472.0,125907103.66947,125907103.66947,0.2341,0.03674,0.2425535078342632,0.0001,998782654,,,,0.2256,0.24265,2025-05-22 09:09:11.391
SOLUSDT,180.377,180.368,180.367,175,9,180.837,165.402,1747904951391,0.07251,3305601.8,569583734.3026,569583734.3026,173.49,0.04023,180.5222376190101731,0.0001,5834372.8,,,,168.182,180.491,2025-05-22 09:09:11.391
BNBUSDT,683.49,683.5,683.49,2.44,127.1,689.65,650.01,1747904951391,0.05036,18436.06,12353872.2211,12353872.2211,673.37,0.01503,683.3926512483839691,0.0001,59586.14,,,,650.72,683.44,2025-05-22 09:09:11.391
UNIUSDT,6.472,6.475,6.474,46,2916,6.488,5.986,1747904951391,0.03602,3586605.0,22447143.088,22447143.088,6.212,0.04185,6.4738696597407291,0.0001,4078955,,,,6.247,6.474,2025-05-22 09:09:11.391
ICPUSDT,5.597,5.597,5.596,441,318.35,5.601,5.167,1747904951391,0.06874,715666.85,3838583.95088,3838583.95088,5.351,0.04597,5.592750779364519,0.0001,2919487.45,,,,5.237,5.597,2025-05-22 09:09:11.391
AAVEUSDT,256.38,256.29,256.24,43.2,21.8,260.71,243.27,1747904951391,-0.00144,94220.7,23806471.103,23806471.103,247.51,0.03584,256.2114464850677787,0.0001,199146.9,,,,256.75,256.3,2025-05-22 09:09:11.391
FILUSDT,3.058,3.057,3.056,36182.6,272.4,3.059,2.825,1747904951391,0.07336,1149956.2,3366520.8148,3366520.8148,2.945,0.03837,3.0545945508598801,0.0001,10577866.9,,,,2.849,3.0574,2025-05-22 09:09:11.391
XLMUSDT,0.30216,0.30215,0.30207,408,1404,0.30228,0.28453,1747904951391,0.04931,21879291.0,6433034.77792,6433034.77792,0.29307,0.03102,0.3020488438902366,0.0001,131847501,,,,0.28796,0.30214,2025-05-22 09:09:11.391
ATOMUSDT,5.105,5.106,5.104,2547,621,5.111,4.827,1747904951391,0.04654,992657.0,4941991.288,4941991.288,4.97,0.02716,5.110073507600443,0.0001,3144543,,,,4.878,5.106,2025-05-22 09:09:11.391
XTZUSDT,0.6528,0.6529,0.6526,189,186,0.6529,0.6119,1747904951391,0.06008,533307.0,335801.0601,335801.0601,0.6351,0.02787,0.6528791255166343,0.0001,2775249,,,,0.6158,0.6529,2025-05-22 09:09:11.391
SUSHIUSDT,0.8112,0.8113,0.8109,117,87,0.8125,0.7141,1747904951391,0.12573,2311334.0,1739857.3829,1739857.3829,0.7454,0.08827,0.8104829568259532,0.0001,8512789,,,,0.7206,0.8112,2025-05-22 09:09:11.391
AXSUSDT,3.121,3.121,3.12,897,27.6,3.123,2.886,1747904951391,0.05761,1208734.6,3605320.5806,3605320.5806,2.993,0.04277,3.1200288832418554,0.0001,3037743.9,,,,2.951,3.121,2025-05-22 09:09:11.391
THETAUSDT,0.9682,0.9681,0.9675,104,271,0.9782,0.8792,1747904951391,0.09278,2713884.0,2495670.2717,2495670.2717,0.9062,0.06842,0.9688322699490772,0.0001,6254730,,,,0.886,0.9683,2025-05-22 09:09:11.391
AVAXUSDT,24.475,24.475,24.472,37.8,844,24.513,22.382,1747904951391,0.0845,1169997.5,27242049.0336,27242049.0336,23.19,0.05554,24.4597734718414959,0.0001,4790361.3,,,,22.568,24.478,2025-05-22 09:09:11.391
