instId,channel,type,ts_recv,start_time,open_price,highest_price,lowest_price,closing_price,trading_volume_coin,trading_volume_usd
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402028,1749415800000,13.93,13.93,13.89,13.9,173.3726,2411.304275
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402052,1749416100000,13.9,13.91,13.88,13.9,279.4538,3883.639182
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402058,1749416400000,13.9,13.94,13.9,13.93,804.2875,11201.744001
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402062,1749416700000,13.93,13.95,13.93,13.94,792.6565,11050.39752
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402065,1749417000000,13.94,13.95,13.93,13.94,782.7925,10909.654384
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402068,1749417300000,13.94,13.95,13.92,13.94,838.5745,11683.327332
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402071,1749417600000,13.94,13.95,13.93,13.94,1095.1132,15267.456507
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402074,1749417900000,13.94,13.95,13.93,13.95,913.6216,12740.815286
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402077,1749418200000,13.95,13.95,13.92,13.93,255.2703,3558.057442
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402080,1749418500000,13.93,13.93,13.89,13.91,194.6265,2707.473314
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402083,1749418800000,13.91,13.93,13.9,13.92,141.5741,1970.308489
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402086,1749419100000,13.92,13.94,13.92,13.93,126.9753,1768.563685
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402089,1749419400000,13.93,13.98,13.93,13.95,324.8639,4533.657372
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402091,1749419700000,13.95,13.97,13.92,13.94,316.7391,4413.296427
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402094,1749420000000,13.94,13.94,13.9,13.91,616.5613,8581.664897
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402097,1749420300000,13.91,13.91,13.86,13.88,1327.5536,18452.509531
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402100,1749420600000,13.88,13.88,13.85,13.85,1622.4332,22497.505642
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402103,1749420900000,13.85,13.88,13.85,13.87,1115.1495,15464.281577
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402106,1749421200000,13.87,13.89,13.86,13.89,740.043,10269.17093
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402108,1749421500000,13.89,13.89,13.83,13.85,852.4432,11801.977878
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402111,1749421800000,13.85,13.85,13.81,13.82,876.7533,12121.737604
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402114,1749422100000,13.82,13.82,13.79,13.81,1779.2628,24554.793472
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402117,1749422400000,13.81,13.82,13.79,13.81,1253.878,17309.946261
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402119,1749422700000,13.81,13.82,13.75,13.77,2037.7572,28069.38672
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402122,1749423000000,13.77,13.77,13.72,13.74,2599.3566,35728.302373
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402125,1749423300000,13.74,13.75,13.73,13.74,2199.0586,30214.954025
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402128,1749423600000,13.74,13.74,13.71,13.72,2100.7772,28828.220113
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402131,1749423900000,13.72,13.74,13.71,13.72,1246.8349,17109.627478
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402133,1749424200000,13.72,13.73,13.7,13.72,1777.6945,24386.097701
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402136,1749424500000,13.72,13.75,13.7,13.74,2687.834,36887.534415
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402139,1749424800000,13.74,13.76,13.7,13.7,918.3807,12605.125052
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402145,1749425100000,13.7,13.71,13.68,13.7,1165.6113,15961.355159
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402148,1749425400000,13.7,13.72,13.68,13.7,1628.6664,22316.932386
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402151,1749425700000,13.7,13.7,13.67,13.68,1291.742,17679.691067
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402154,1749426000000,13.68,13.69,13.67,13.68,1423.7962,19480.302776
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402156,1749426300000,13.68,13.69,13.67,13.67,1253.7478,17148.832298
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402159,1749426600000,13.67,13.69,13.66,13.69,616.9454,8437.901672
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402161,1749426900000,13.69,13.72,13.68,13.72,1967.7551,26978.086336
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402164,1749427200000,13.72,13.78,13.71,13.76,2182.4234,30003.669999
LINKUSDT,candle5m,SPOT,2025-06-10T21:25:04.402167,1749427500000,13.76,13.77,13.73,13.73,2436.591,33490.529964
